MSI_DO_YOU_AGREE	동의 하십니까?
MSI_SERVER_CONNECTION_FAILED	서버 연결 실패
MSI_UNABLE_TO_CONNECT_SERVER	서버와 연결이 끊어졌습니다.
MSI_BANNED	서버와 연결이 끊어졌습니다!
MSI_SERVER_OFF	서버 종료됨
MSI_DOUBLE_LOGIN_PROHIBITED	같은 계정으로 다른 사용자가 로그인 하였습니다.
MSI_INCORRECT_USERID	등록되지 않은 계정입니다. 다시 확인 바랍니다.
MSI_INCORRECT_PASSWORD	입력하신 비밀번호가 올바르지 않습니다.
MSI_ID_EXPIRED	본 ID 는 사용기간이 만료 되었습니다
MSI_ACCESS_DENIED	서버 접근 거부
MSI_CHARACTER_NAME_ALREADY_EXISTS	같은 캐릭터 이름이 있습니다.
MSI_CHARACTER_CREATION_DENIED	캐릭터 생성 거부됨
MSI_CANNOT_DELETE_CHARACTER	캐릭터 삭제 거부
MSI_ENTER_ROOM_TITLE	방제목를 입력하세요.
MSI_BAD_SENTANGE	불량단어가 검출되었습니다.
MSI_ENTER_PASSWORD	암호를 입력하세요.
MSI_Enter_Password_more_than_4_char	암호를 영문 4자 이상 입력하세요.
MSI_DO_YOU_REALLY_WANT_TO_QUIT	종료 하시겠습니까?
MSI_NAME_MUST_EXCEED_4_CHAR	4자 이상 입력해주세요. 사용자 계정이 없으신분들은 왼쪽 하단의 [신청] 버튼을 눌러 계정을 만드시기 바랍니다.
MSI_DELETE_CHARACTER	한 번 삭제된 캐릭터 및 관련 정보는      다시 복구되지 않습니다.                                 캐릭터를 삭제하시겠습니까?
MSI_BAD_NAME	불량단어가 검출되었습니다.
MSI_ENTER_NAME_MORE_THAN_4_CHAR	이름을 입력해 주세요.(한글 2자 영문 4자 이상)
MSI_LIST_COMMAND	명령어 일람: /h
MSI_EFFECT_ON	이펙트 On
MSI_EFFECT_OFF	이펙트 Off
MSI_VOLUME_OF_SOUND	사운드 볼륨
MSI_VOLUME_OF_BGM	배경음악 볼륨
MSI_SOUND_ON	효과음 On
MSI_SOUND_OFF	효과음 Off
MSI_FRAME_SKIP_ON	프레임스킵 On
MSI_FRAME_SKIP_OFF	프레임스킵 Off
MSI_BGM_ON	배경음악 On
MSI_BGM_OFF	배경음악 Off
MSI_EXPLAIN_HELP	/h or /help: 명령어 일람
MSI_EXPLAIN_WHO	/w or /who or /접속자 or /누구: 현재 접속자수 보기
MSI_EXPLAIN_MUSIC	/음악 : 배경음악 On Off
MSI_EXPLAIN_SOUND	/효과음 : 효과음 On Off
MSI_EXPLAIN_EFFECT	/이펙트 : 이펙트 On Off
MSI_EXPLAIN_POS	/좌표 or /장소: 현재 위치 표시
MSI_EXPLAIN_FRAMESKIP	/skip : 프래임스킵 On Off
MSI_EXPLAIN_SOUNDVOLUME	/v (0~127): 효과음 볼륨조정
MSI_EXPLAIN_BGMVOLUME	/bv (0~127): 배경음악 볼륨조정
MSI_EXPLAIN_SAYISOLATION	/ex (캐릭터이름) or /차단 (캐릭터이름) : 해당캐릭터에 대해 귓말차단
MSI_EXPLAIN_LIST_SAYISOLATION_CHAR	/ex or /차단 : 귓말차단 캐릭터 리스트
MSI_EXPLAIN_SAY_PERMIT	/in (캐릭터이름) or /해제 (캐릭터이름) : 해당캐릭터에 대해 귓말허용
MSI_EXPLAIN_SAY_PERMITALL	/inall or /해제전부 : 모두에게 귓말허용
MSI_EXPLAIN_SAY_ISOLATEALL	/exall or /차단전부 : 모두에게 귓말차단
MSI_EXPLAIN_TIP1	다른유저 캐릭터를 마우스 오른버튼을 누르고 있는 상태에서 왼버튼으로 클릭하면 그캐릭터이름이 귓말콤보박스에 저장됩니다.
MSI_EXPLAIN_TIP2	단축아이탬창(F12) 소비장비 아이템을 드래그한후 사용하세요. 사용키(F1F2F3F4F5F6F7F8F9)
MSI_NO_SAME_SENTANCE	같은말을 3번이상 연속해서 전송할 수 없습니다.
MSI_NO_SEND_BECAUSE_INSULT	불량단어 검출로 전송이 중단 되었습니다.
MSI_CAN_DRAG_ITEM_OLNY_ONETIME	같은아이템은 한번만 올릴수 있습니다.
MSI_CANT_GET_ITEM_BECAUSE_WEIGHT	무게가 초과하여 아이템을 가질 수 없습니다.
MSI_CANT_GET_ITEM	아이템을 가질 수 없습니다.
MSI_DEAL_SECCESS	거래가 잘 이루어졌습니다.
MSI_INSUFFICIENT_MONEY	돈이 부족합니다.
MSI_OVER_WEIGHT	무게가 초과 되었습니다.
MSI_DEAL_FAIL	거래가 실패 했습니다.
MSI_REFUSE_HEAR_ALL	모두에게 귓말거부상태로됨
MSI_REQ_REFUSE_HEAR_ALL_FAIL	모두에게 귓말거부요청 실패함
MSI_HEAR_ALL	모두에게 귓말가능상태가됨
MSI_REQ_HEAR_ALL_FAIL	모두에게 귓말가능요청 실패함
MSI_NO_REFUSE_HEAR_LIST	귓말 거부 리스트가 없습니다
MSI_REFUSE_HEAR_LIST	-귓말 거부 리스트-
MSI_ROOM_IS_MADE	방이 잘 만들어 졌습니다.
MSI_TOO_MANY_ROOM	방갯수가 허용갯수를 초과 하였습니다.
MSI_SAME_ROOM_TITLE	같은 방제목이 있습니다.
MSI_TOO_MANY_PEOPLE_IN_ROOM	인원초과로 방에 들어갈 수 없습니다.
MSI_YOU_HAVE_BANNED_FROM_THE_ROOM	강제로 퇴장된 방입니다.
MSI_REJECT_DEAL	교환요청을 거절 했습니다.
MSI_TOO_FAR_TO_DEAL	교환가능거리를 벗어났습니다.
MSI_CHARACTER_IS_NOT_EXIST	해당 캐릭터가 없습니다.
MSI_CHARACTER_IS_DEALING	다른캐릭터와 교환중입니다.
MSI_CHARACTER_IS_OVER_WEIGHT	상대 캐릭터 중량초과로 올려놓을 수 없습니다.
MSI_DEAL_IS_CANCELED	거래가 취소 되었습니다.
MSI_DEAL_SUCCESS	아이템 교환이 잘 되었습니다.
MSI_DEAL_FAILED	아이템 교환이 실패 하였습니다.
MSI_PARTY_MAKE_SUCCEED	파티가 만들어졌습니다.
MSI_SAME_PARTY_NAME	같은 파티이름이 있습니다.
MSI_YOU_ARE_ALREADY_IN_PARTY	이미 파티에 속해있습니다.
MSI_CHARACTER_IS_ALREADY_IN_PARTY	다른파티에 가입되어 있습니다.
MSI_CHARACTER_REJECT_JOIN	파티가입을 거부했습니다.
MSI_CHARACTER_ACCEPT_JOIN	파티가입을 수락했습니다.
MSI_TOO_MANY_PEOPLE_IN_PARTY	파티정원을 초과했습니다.
MSI_YOU_LEAVE_FROM_PARTY	파티에서 탈퇴하였습니다.
MSI_SEND_TO_ALL	전체에게 보냄
MSI_SEND_TO_PARTY	파티에게 보냄
MSI_REQ_DEAL_WITH	님과의 거래요청
MSI_REQ_JOIN_PARTY	님 파티에 가입요청
MSI_ROOM_PRIVATE	비공개 : 
MSI_ROOM_PUBLIC	공개 : 
MSI_RESTART_MSG	마지막 체크지점부터 시작하려면 '재시작'을 캐릭터 선택으로 돌아가려면 '종료'를 눌러주세요.
MSI_SELECT_DEAL_TYPE	원하는 거래를 선택하세요.
MSI_SUGGEST_DEAL	님이 거래를 요청했습니다.
MSI_SUGGEST_JOIN_PARTY	 파티에서 초청 메시지가 왔습니다. 합류하겠습니까?
MSI_INVALID_COMMAND	명령이 틀렸습니다.
MSI_LEAVE_PARTY	탈퇴하기
MSI_EXPEL	제명시키기
MSI_MSG	쪽지보내기
MSI_1ON1	1:1 대화
MSI_CHARACTER_INFO	정보
MSI_PARTY_SETTING	파티설정
MSI_FRIEND	친구
MSI_PARTY	파티
MSI_EQUIPED_ITEM	장착아이템
MSI_STATUS	스테이터스
MSI_ITEM	소지아이템
MSI_EXPLAIN_PARTY	/결성 [파티이름] : 파티결성 /탈퇴 : 파티탈퇴
MSI_EXPLAIN_TIP3	자신이 파티리더일때 캐릭터를 오른버튼으로 클릭하면 파티에 가입요청하기 메뉴가 뜹니다.
MSI_RESTORE	회복
MSI_ATTACK	공격
MSI_SUPPORT	보조
MSI_ALL	전체
MSI_WEAPON	무기
MSI_DEFENCE	방어
MSI_WATER	수
MSI_EARTH	지
MSI_FIRE	화
MSI_WIND	풍
MSI_EQUIPITEM_OLNY_ONE	같은 종류의 장비 아이템은 한 번에 한 개만 살 수 있습니다.
MSI_ONLY_16BIT_WHEN_WINDOWMODE	창모드에서 실행 할때는 16비트 컬러로 맞춰주세요.
MSI_PLEASE_BE_PATIENT	잠시만 기다려 주세요.
MSI_WAITING_RESPONSE_FROM_SERVER	잠시만 기다려 주세요.
MSI_MAKING_CHARACTER	잠시만 기다려 주세요.
MSI_DELETING_CHARACTER	잠시만 기다려 주세요.
MSI_MAKING_ROOM	방 만들기
MSI_CHANGE_ROOM_SETTING	방셋팅 바꾸기
MSI_BAN	강퇴시키기
MSI_GIVE_GIVE_ROOM_POWER	방장권한 주기
MSI_SEE_INFORMATION_OF_CHARACTER	정보보기
MSI_CHAT_ROOM	대화방
MSI_COUNT_UNIT_OF_PEOPLE	명
MSI_EXPLAIN_SIT	/앉기 or /sit : 앉기. 앉아있을때 서기
MSI_EXPLAIN_STAND	/서기 or /stand : 서기. 서있을때 앉기
MSI_EXPLAIN_MAKE_CHAT	/채팅방 or /chat : 채팅방 만들기창 띄우기
MSI_EXPLAIN_EXIT_CHAT_ROOM	/q : 채팅방 나가기.
MSI_EXPLAIN_DEAL	/거래 [캐릭터이름] or /교환 [캐릭터이름] or /deal [캐릭터이름] : 해당 캐릭터와 거래요청
MSI_EXPLAIN_ORGANIZE_PARTY	/결성 [파티이름] or /organize [파티이름] : 파티결성
MSI_EXPLAIN_LEAVE_PARTY	/탈퇴 or /leave : 파티 탈퇴
