﻿MSI_DO_YOU_AGREE	你同意?
MSI_SERVER_CONNECTION_FAILED	服务器连接失败
MSI_UNABLE_TO_CONNECT_SERVER	与服务器的连接已丢失.
MSI_BANNED	与服务器断开连接!
MSI_SERVER_OFF	服务器终止
MSI_DOUBLE_LOGIN_PROHIBITED	另一个用户已使用同一帐户登录.
MSI_INCORRECT_USERID	该帐户未注册.请再次检查.
MSI_INCORRECT_PASSWORD	您输入的密码不正确.
MSI_ID_EXPIRED	该ID已过期
MSI_ACCESS_DENIED	服务器访问被拒绝
MSI_CHARACTER_NAME_ALREADY_EXISTS	他们有相同的角色名.
MSI_CHARACTER_CREATION_DENIED	角色创建被拒绝
MSI_CANNOT_DELETE_CHARACTER	拒绝删除角色
MSI_ENTER_ROOM_TITLE	请输入房间名称.
MSI_BAD_SENTANGE	检测到不良词语.
MSI_ENTER_PASSWORD	请输入您的密码.
MSI_Enter_Password_more_than_4_char	请输入至少4个英文字符的密码.
MSI_DO_YOU_REALLY_WANT_TO_QUIT	你想退出吗?
MSI_NAME_MUST_EXCEED_4_CHAR	请输入至少 4 个字符.如果您没有用户帐户,请点击左下角的 [신청] 按钮创建一个帐户.
MSI_DELETE_CHARACTER	一旦删除,角色及相关信息将无法恢复.                                 您确定要删除您的角色吗?
MSI_BAD_NAME	检测到不良词语.
MSI_ENTER_NAME_MORE_THAN_4_CHAR	请输入您的姓名. (2个中文字符和4个或更多英文字符)
MSI_LIST_COMMAND	命令列表:/h
MSI_EFFECT_ON	效果于
MSI_EFFECT_OFF	效果关闭
MSI_VOLUME_OF_SOUND	音量
MSI_VOLUME_OF_BGM	背景音乐音量
MSI_SOUND_ON	音效开启
MSI_SOUND_OFF	音效关闭
MSI_FRAME_SKIP_ON	跳帧
MSI_FRAME_SKIP_OFF	跳帧
MSI_BGM_ON	背景音乐开启
MSI_BGM_OFF	背景音乐关闭
MSI_EXPLAIN_HELP	/h 或 /help: 命令列表
MSI_EXPLAIN_WHO	/w 或 /who 或 /접속자 或 /누구: 查看当前连接用户数
MSI_EXPLAIN_MUSIC	/음악:背景音乐开关
MSI_EXPLAIN_SOUND	/효과음:音效开启关闭
MSI_EXPLAIN_EFFECT	/이펙트:效果打开关闭
MSI_EXPLAIN_POS	/좌표 或 /장소: 显示当前位置
MSI_EXPLAIN_FRAMESKIP	/skip:跳帧 开 关
MSI_EXPLAIN_SOUNDVOLUME	/v (0~127):音效音量调节
MSI_EXPLAIN_BGMVOLUME	/bv (0~127):背景音乐音量调节
MSI_EXPLAIN_SAYISOLATION	/ex(角色名称)或 /차단(角色名称):阻止该角色的低语.
MSI_EXPLAIN_LIST_SAYISOLATION_CHAR	/ex 或 /차단:耳语阻止字符列表
MSI_EXPLAIN_SAY_PERMIT	/in(角色名称)或 /해제(角色名称):允许对该角色低声说话.
MSI_EXPLAIN_SAY_PERMITALL	/inall 或 /해제전부:允许每个人窃窃私语
MSI_EXPLAIN_SAY_ISOLATEALL	/exall 或 /차단전부:阻止所有人的窃窃私语
MSI_EXPLAIN_TIP1	如果您在另一个用户的角色上按住鼠标右键的同时单击左键,则该角色的名称将保存在耳语组合框中.
MSI_EXPLAIN_TIP2	通过拖动消耗品来使用快捷项目窗口 (F12).使用的密钥(F1F2F3F4F5F6F7F8F9)
MSI_NO_SAME_SENTANCE	您不能连续发送同一消息超过 3 次.
MSI_NO_SEND_BECAUSE_INSULT	由于检测到坏词而停止传输.
MSI_CAN_DRAG_ITEM_OLNY_ONETIME	同一项目只能上传一次.
MSI_CANT_GET_ITEM_BECAUSE_WEIGHT	您无法领取该物品,因为它超重.
MSI_CANT_GET_ITEM	您无法拥有该物品.
MSI_DEAL_SECCESS	交易进行得很顺利.
MSI_INSUFFICIENT_MONEY	我缺钱.
MSI_OVER_WEIGHT	重量超标.
MSI_DEAL_FAIL	交易失败.
MSI_REFUSE_HEAR_ALL	每个人都拒绝听你说话
MSI_REQ_REFUSE_HEAR_ALL_FAIL	请求拒绝大家耳朵失败
MSI_HEAR_ALL	每个人都能听到你的声音
MSI_REQ_HEAR_ALL_FAIL	向所有人低声请求失败
MSI_NO_REFUSE_HEAR_LIST	没有耳语拒绝名单.
MSI_REFUSE_HEAR_LIST	-悄悄话拒绝名单-
MSI_ROOM_IS_MADE	房间布置得很好.
MSI_TOO_MANY_ROOM	房间数量超出允​​许数量.
MSI_SAME_ROOM_TITLE	他们有相同的房间名称.
MSI_TOO_MANY_PEOPLE_IN_ROOM	由于房间过于拥挤,我们无法进入.
MSI_YOU_HAVE_BANNED_FROM_THE_ROOM	这是你被迫离开的房间.
MSI_REJECT_DEAL	交换请求被拒绝.
MSI_TOO_FAR_TO_DEAL	超出了可更换范围.
MSI_CHARACTER_IS_NOT_EXIST	没有这样的人物.
MSI_CHARACTER_IS_DEALING	您正在与另一个角色交换.
MSI_CHARACTER_IS_OVER_WEIGHT	它不能放置在对手的角色上,因为它超重.
MSI_DEAL_IS_CANCELED	交易已被取消.
MSI_DEAL_SUCCESS	物品交换进行得很顺利.
MSI_DEAL_FAILED	物品交换失败.
MSI_PARTY_MAKE_SUCCEED	队伍组建成功.
MSI_SAME_PARTY_NAME	已有相同的队伍名称
MSI_YOU_ARE_ALREADY_IN_PARTY	你已经加入了队伍.
MSI_CHARACTER_IS_ALREADY_IN_PARTY	该角色已在另一个队伍中.
